Frequency (Hz)	|	Gain (dB)
672.000000	|	-29.380923
673.000000	|	-29.395544
674.000000	|	-29.405439
675.000000	|	-29.408169
676.000000	|	-29.409292
677.000000	|	-29.410414
678.000000	|	-29.410490
679.000000	|	-29.410566
680.000000	|	-29.417458
681.000000	|	-29.424351
682.000000	|	-29.438828
683.000000	|	-29.470011
684.000000	|	-29.494518
685.000000	|	-29.505545
686.000000	|	-29.516572
687.000000	|	-29.534969
688.000000	|	-29.571763
689.000000	|	-29.590160
690.000000	|	-29.598555
691.000000	|	-29.606816
692.000000	|	-29.610680
693.000000	|	-29.612479
694.000000	|	-29.614278
695.000000	|	-29.615366
696.000000	|	-29.616455
697.000000	|	-29.627116
698.000000	|	-29.632447
699.000000	|	-29.636156
700.000000	|	-29.639866
701.000000	|	-29.650537
702.000000	|	-29.671879
703.000000	|	-29.682551
704.000000	|	-29.693398
705.000000	|	-29.704245
706.000000	|	-29.715713
707.000000	|	-29.726089
708.000000	|	-29.727619
709.000000	|	-29.730681
710.000000	|	-29.732212
711.000000	|	-29.736801
712.000000	|	-29.741389
713.000000	|	-29.755090
714.000000	|	-29.761234
715.000000	|	-29.763953
716.000000	|	-29.766672
717.000000	|	-29.835563
718.000000	|	-29.904454
719.000000	|	-29.921986
720.000000	|	-29.924633
721.000000	|	-29.929926
722.000000	|	-29.932573
723.000000	|	-29.934416
724.000000	|	-29.938103
725.000000	|	-29.939947
726.000000	|	-29.960346
727.000000	|	-29.980746
728.000000	|	-30.000618
729.000000	|	-30.012106
730.000000	|	-30.035083
731.000000	|	-30.046571
732.000000	|	-30.053206
733.000000	|	-30.056024
734.000000	|	-30.061659
735.000000	|	-30.064477
736.000000	|	-30.134965
737.000000	|	-30.141487
738.000000	|	-30.154530
739.000000	|	-30.161051
740.000000	|	-30.179465
741.000000	|	-30.197879
742.000000	|	-30.198046
743.000000	|	-30.198380
744.000000	|	-30.198547
745.000000	|	-30.232582
746.000000	|	-30.235098
747.000000	|	-30.240130
748.000000	|	-30.242646
749.000000	|	-30.266795
750.000000	|	-30.271969
751.000000	|	-30.273965
752.000000	|	-30.275668
753.000000	|	-30.277371
754.000000	|	-30.287071
755.000000	|	-30.296772
756.000000	|	-30.316757
757.000000	|	-30.336817
758.000000	|	-30.343428
759.000000	|	-30.345025
760.000000	|	-30.346621
761.000000	|	-30.393485
762.000000	|	-30.406671
763.000000	|	-30.419856
764.000000	|	-30.424804
765.000000	|	-30.434701
766.000000	|	-30.439649
767.000000	|	-30.450172
768.000000	|	-30.454657
769.000000	|	-30.456808
770.000000	|	-30.457701
771.000000	|	-30.458056
772.000000	|	-30.458411
773.000000	|	-30.459476
774.000000	|	-30.461050
775.000000	|	-30.517992
776.000000	|	-30.546463
777.000000	|	-30.666735
778.000000	|	-30.675408
779.000000	|	-30.692753
780.000000	|	-30.694694
781.000000	|	-30.698576
782.000000	|	-30.700516
783.000000	|	-30.701482
784.000000	|	-30.703414
785.000000	|	-30.704380
786.000000	|	-30.705982
787.000000	|	-30.706781
788.000000	|	-30.706850
789.000000	|	-30.706871
790.000000	|	-30.706883
791.000000	|	-30.706895
792.000000	|	-30.706998
793.000000	|	-30.707101
794.000000	|	-30.707326
795.000000	|	-30.707580
796.000000	|	-30.708666
797.000000	|	-30.713626
798.000000	|	-30.786019
799.000000	|	-30.830104
800.000000	|	-30.830132
801.000000	|	-30.830187
802.000000	|	-30.830215
803.000000	|	-30.837494
804.000000	|	-30.887041
805.000000	|	-30.911687
806.000000	|	-30.923946
807.000000	|	-30.936206
808.000000	|	-30.939725
809.000000	|	-30.946762
810.000000	|	-30.950281
811.000000	|	-30.953750
812.000000	|	-30.954119
813.000000	|	-30.954858
814.000000	|	-30.955228
815.000000	|	-30.956058
816.000000	|	-30.957719
817.000000	|	-30.958550
818.000000	|	-30.963498
819.000000	|	-31.002329
820.000000	|	-31.039641
821.000000	|	-31.055261
822.000000	|	-31.061554
823.000000	|	-31.067846
824.000000	|	-31.107026
825.000000	|	-31.141878
826.000000	|	-31.176731
827.000000	|	-31.180432
828.000000	|	-31.181250
829.000000	|	-31.181337
830.000000	|	-31.181511
831.000000	|	-31.181598
832.000000	|	-31.183089
833.000000	|	-31.184580
834.000000	|	-31.188333
835.000000	|	-31.191941
836.000000	|	-31.195401
837.000000	|	-31.198861
838.000000	|	-31.208826
839.000000	|	-31.218791
840.000000	|	-31.239018
841.000000	|	-31.261772
842.000000	|	-31.265992
843.000000	|	-31.274432
844.000000	|	-31.278652
845.000000	|	-31.318306
846.000000	|	-31.333275
847.000000	|	-31.340625
848.000000	|	-31.344028
849.000000	|	-31.344398
850.000000	|	-31.345137
851.000000	|	-31.345506
852.000000	|	-31.345555
853.000000	|	-31.345653
854.000000	|	-31.345702
