Frequency (Hz)	|	Gain (dB)
360.000000	|	-8.208628
361.000000	|	-8.302418
362.000000	|	-8.349303
363.000000	|	-8.349304
364.000000	|	-8.349304
365.000000	|	-8.349304
366.000000	|	-8.349304
367.000000	|	-8.349304
368.000000	|	-8.349304
369.000000	|	-8.349304
370.000000	|	-8.349304
371.000000	|	-8.349304
372.000000	|	-8.349304
373.000000	|	-8.349304
374.000000	|	-8.349304
375.000000	|	-8.349302
376.000000	|	-8.349236
377.000000	|	-8.344974
378.000000	|	-7.555527
379.000000	|	-7.160804
380.000000	|	-7.160419
381.000000	|	-7.160418
382.000000	|	-7.160416
383.000000	|	-7.160416
384.000000	|	-7.160416
385.000000	|	-7.160416
386.000000	|	-7.160416
387.000000	|	-7.160416
388.000000	|	-7.160416
389.000000	|	-7.160416
390.000000	|	-7.160416
391.000000	|	-7.160416
392.000000	|	-7.160593
393.000000	|	-7.171930
394.000000	|	-7.262629
395.000000	|	-7.625425
396.000000	|	-7.648097
397.000000	|	-7.649514
398.000000	|	-7.649602
399.000000	|	-7.649602
400.000000	|	-7.649602
401.000000	|	-7.649602
402.000000	|	-7.649602
403.000000	|	-7.649602
404.000000	|	-7.649602
405.000000	|	-7.649602
406.000000	|	-7.649602
407.000000	|	-7.649602
408.000000	|	-7.649602
409.000000	|	-7.649597
410.000000	|	-7.649519
411.000000	|	-7.648897
412.000000	|	-7.628979
413.000000	|	-7.549310
414.000000	|	-7.230633
415.000000	|	-6.911956
416.000000	|	-6.274506
417.000000	|	-5.909497
418.000000	|	-5.783940
419.000000	|	-5.724835
420.000000	|	-5.695307
421.000000	|	-5.691632
422.000000	|	-5.684282
423.000000	|	-5.680607
424.000000	|	-5.680276
425.000000	|	-5.679613
426.000000	|	-5.679282
427.000000	|	-5.671333
428.000000	|	-5.663187
429.000000	|	-5.628617
430.000000	|	-5.234886
431.000000	|	-5.227177
432.000000	|	-5.223322
433.000000	|	-5.221395
434.000000	|	-5.221365
435.000000	|	-5.221365
436.000000	|	-5.221365
437.000000	|	-5.221365
438.000000	|	-5.221365
439.000000	|	-5.221365
440.000000	|	-5.221365
441.000000	|	-5.221365
442.000000	|	-5.221365
443.000000	|	-5.221365
444.000000	|	-5.221365
445.000000	|	-5.221365
446.000000	|	-5.221405
447.000000	|	-5.226618
448.000000	|	-5.267947
449.000000	|	-5.267957
450.000000	|	-5.267958
451.000000	|	-5.267959
452.000000	|	-5.267959
453.000000	|	-5.267959
454.000000	|	-5.267959
455.000000	|	-5.267959
456.000000	|	-5.267959
457.000000	|	-5.267959
458.000000	|	-5.267959
459.000000	|	-5.267959
460.000000	|	-5.267959
461.000000	|	-5.267959
462.000000	|	-5.267959
463.000000	|	-5.267959
464.000000	|	-5.267960
465.000000	|	-5.267960
466.000000	|	-5.267962
467.000000	|	-5.267965
468.000000	|	-5.267980
469.000000	|	-5.268036
470.000000	|	-5.268065
471.000000	|	-5.268179
472.000000	|	-5.269090
473.000000	|	-5.269545
474.000000	|	-5.271366
475.000000	|	-5.300512
476.000000	|	-5.329657
477.000000	|	-5.446237
478.000000	|	-5.912802
479.000000	|	-6.182195
480.000000	|	-6.720981
481.000000	|	-6.990374
482.000000	|	-7.232924
483.000000	|	-7.349361
484.000000	|	-7.465798
485.000000	|	-7.868348
486.000000	|	-8.270898
487.000000	|	-8.299970
488.000000	|	-8.300424
489.000000	|	-8.300428
490.000000	|	-8.300428
491.000000	|	-8.300428
492.000000	|	-8.300428
493.000000	|	-8.300428
494.000000	|	-8.300428
495.000000	|	-8.300428
496.000000	|	-8.300428
497.000000	|	-8.300428
498.000000	|	-8.300427
499.000000	|	-8.299737
500.000000	|	-8.288704
501.000000	|	-8.244569
502.000000	|	-8.222501
503.000000	|	-8.134231
504.000000	|	-7.957690
505.000000	|	-7.239895
506.000000	|	-7.163153
507.000000	|	-7.124812
508.000000	|	-7.122996
509.000000	|	-7.122893
510.000000	|	-7.122893
511.000000	|	-7.122893
512.000000	|	-7.122893
513.000000	|	-7.122893
514.000000	|	-7.122893
515.000000	|	-7.122893
516.000000	|	-7.122893
517.000000	|	-7.122893
518.000000	|	-7.122893
519.000000	|	-7.122893
520.000000	|	-7.122893
521.000000	|	-7.122893
522.000000	|	-7.122906
523.000000	|	-7.122955
524.000000	|	-7.123055
525.000000	|	-7.123453
526.000000	|	-7.125046
527.000000	|	-7.227599
528.000000	|	-7.302726
529.000000	|	-7.338830
530.000000	|	-7.347124
531.000000	|	-7.355268
532.000000	|	-7.359037
533.000000	|	-7.359401
534.000000	|	-7.359544
535.000000	|	-7.359830
536.000000	|	-7.359859
537.000000	|	-7.359916
538.000000	|	-7.359944
539.000000	|	-7.359984
540.000000	|	-7.359993
541.000000	|	-7.359996
542.000000	|	-7.359997
543.000000	|	-7.359999
544.000000	|	-7.360000
545.000000	|	-7.360451
546.000000	|	-7.361354
547.000000	|	-7.361806
548.000000	|	-7.363686
549.000000	|	-7.371218
550.000000	|	-7.374984
551.000000	|	-7.390052
552.000000	|	-7.405297
553.000000	|	-7.412919
554.000000	|	-7.414825
555.000000	|	-7.414944
556.000000	|	-7.414974
557.000000	|	-7.414975
558.000000	|	-7.414975
559.000000	|	-7.414975
560.000000	|	-7.414975
561.000000	|	-7.414975
562.000000	|	-7.414975
563.000000	|	-7.414975
564.000000	|	-7.414975
565.000000	|	-7.414975
566.000000	|	-7.414975
567.000000	|	-7.414975
568.000000	|	-7.414975
569.000000	|	-7.414974
570.000000	|	-7.414968
571.000000	|	-7.414968
572.000000	|	-7.414967
573.000000	|	-7.414967
574.000000	|	-7.414967
575.000000	|	-7.414967
576.000000	|	-7.414967
577.000000	|	-7.414967
578.000000	|	-7.414967
579.000000	|	-7.414967
580.000000	|	-7.414966
581.000000	|	-7.414966
582.000000	|	-7.414965
583.000000	|	-7.414959
584.000000	|	-7.414935
585.000000	|	-7.414839
586.000000	|	-7.414791
587.000000	|	-7.414599
588.000000	|	-7.413060
589.000000	|	-7.388451
590.000000	|	-7.377012
591.000000	|	-7.373022
592.000000	|	-7.371893
593.000000	|	-7.370764
594.000000	|	-7.310074
595.000000	|	-7.247996
596.000000	|	-7.155211
597.000000	|	-7.062426
598.000000	|	-5.541258
599.000000	|	-4.860808
