Frequency (Hz)	|	Gain (dB)
387.000000	|	-18.806995
388.000000	|	-18.834101
389.000000	|	-18.834967
390.000000	|	-18.836699
391.000000	|	-18.837565
392.000000	|	-18.850706
393.000000	|	-18.863848
394.000000	|	-18.894739
395.000000	|	-18.895248
396.000000	|	-18.895754
397.000000	|	-18.896259
398.000000	|	-18.896355
399.000000	|	-18.896452
400.000000	|	-18.896850
401.000000	|	-18.897049
402.000000	|	-18.898031
403.000000	|	-18.908322
404.000000	|	-18.929377
405.000000	|	-18.943288
406.000000	|	-18.971109
407.000000	|	-18.985020
408.000000	|	-19.002417
409.000000	|	-19.019815
410.000000	|	-19.028347
411.000000	|	-19.030911
412.000000	|	-19.036039
413.000000	|	-19.038603
414.000000	|	-19.043960
415.000000	|	-19.049317
416.000000	|	-19.085345
417.000000	|	-19.094339
418.000000	|	-19.098812
419.000000	|	-19.101035
420.000000	|	-19.103259
421.000000	|	-19.109259
422.000000	|	-19.115259
423.000000	|	-19.139696
424.000000	|	-19.151914
425.000000	|	-19.203178
426.000000	|	-19.208694
427.000000	|	-19.215920
428.000000	|	-19.216307
429.000000	|	-19.216482
430.000000	|	-19.216833
431.000000	|	-19.217009
432.000000	|	-19.217015
433.000000	|	-19.217021
434.000000	|	-19.217036
435.000000	|	-19.221938
436.000000	|	-19.231743
437.000000	|	-19.236645
438.000000	|	-19.277687
439.000000	|	-19.318728
440.000000	|	-19.330699
441.000000	|	-19.354642
442.000000	|	-19.360375
443.000000	|	-19.360615
444.000000	|	-19.361096
445.000000	|	-19.361336
446.000000	|	-19.364791
447.000000	|	-19.368246
448.000000	|	-19.375293
449.000000	|	-19.391051
450.000000	|	-19.422235
451.000000	|	-19.453418
452.000000	|	-19.463465
453.000000	|	-19.473512
454.000000	|	-19.475862
455.000000	|	-19.480561
456.000000	|	-19.482911
457.000000	|	-19.484072
458.000000	|	-19.485123
459.000000	|	-19.486175
460.000000	|	-19.498268
461.000000	|	-19.510362
462.000000	|	-19.534768
463.000000	|	-19.552626
464.000000	|	-19.570484
465.000000	|	-19.616137
466.000000	|	-19.647039
467.000000	|	-19.650826
468.000000	|	-19.652708
469.000000	|	-19.652783
470.000000	|	-19.652809
471.000000	|	-19.652820
472.000000	|	-19.652824
473.000000	|	-19.652825
474.000000	|	-19.652826
475.000000	|	-19.652845
476.000000	|	-19.652870
477.000000	|	-19.652986
478.000000	|	-19.657735
479.000000	|	-19.658897
480.000000	|	-19.661222
481.000000	|	-19.662384
482.000000	|	-19.694367
483.000000	|	-19.705494
484.000000	|	-19.708626
485.000000	|	-19.711757
486.000000	|	-19.750171
487.000000	|	-19.754971
488.000000	|	-19.764570
489.000000	|	-19.769370
490.000000	|	-19.780481
491.000000	|	-19.784989
492.000000	|	-19.786719
493.000000	|	-19.788449
494.000000	|	-19.798883
495.000000	|	-19.819753
496.000000	|	-19.820184
497.000000	|	-19.821046
498.000000	|	-19.821476
499.000000	|	-19.825800
500.000000	|	-19.830123
501.000000	|	-19.830493
502.000000	|	-19.830864
503.000000	|	-19.868733
