Frequency (Hz)	|	Gain (dB)
608.000000	|	-14.096813
609.000000	|	-14.096814
610.000000	|	-14.096816
611.000000	|	-14.096817
612.000000	|	-14.096821
613.000000	|	-14.096838
614.000000	|	-14.096847
615.000000	|	-14.096881
616.000000	|	-14.097019
617.000000	|	-14.097088
618.000000	|	-14.097364
619.000000	|	-14.097536
620.000000	|	-14.097570
621.000000	|	-14.097604
622.000000	|	-14.100870
623.000000	|	-14.191423
624.000000	|	-14.202529
625.000000	|	-14.224741
626.000000	|	-14.235847
627.000000	|	-14.236338
628.000000	|	-14.237321
629.000000	|	-14.237813
630.000000	|	-14.259143
631.000000	|	-14.261390
632.000000	|	-14.261646
633.000000	|	-14.261902
634.000000	|	-14.268711
635.000000	|	-14.275519
636.000000	|	-14.289161
637.000000	|	-14.320613
638.000000	|	-14.338182
639.000000	|	-14.346252
640.000000	|	-14.348861
641.000000	|	-14.349452
642.000000	|	-14.350043
643.000000	|	-14.353336
644.000000	|	-14.359924
645.000000	|	-14.363217
646.000000	|	-14.406196
647.000000	|	-14.425364
648.000000	|	-14.433788
649.000000	|	-14.442211
650.000000	|	-14.466577
651.000000	|	-14.490944
652.000000	|	-14.515841
653.000000	|	-14.522852
654.000000	|	-14.523640
655.000000	|	-14.524427
656.000000	|	-14.526928
657.000000	|	-14.531929
658.000000	|	-14.534430
659.000000	|	-14.537435
660.000000	|	-14.576420
661.000000	|	-14.615404
662.000000	|	-14.637726
663.000000	|	-14.660047
664.000000	|	-14.663413
665.000000	|	-14.670144
666.000000	|	-14.673510
667.000000	|	-14.685104
668.000000	|	-14.686554
669.000000	|	-14.688003
670.000000	|	-14.688014
671.000000	|	-14.688020
672.000000	|	-14.688020
673.000000	|	-14.688020
674.000000	|	-14.688020
675.000000	|	-14.688020
676.000000	|	-14.688020
677.000000	|	-14.688020
678.000000	|	-14.688020
679.000000	|	-14.688020
680.000000	|	-14.688020
681.000000	|	-14.688020
682.000000	|	-14.687871
683.000000	|	-14.683122
684.000000	|	-14.681534
685.000000	|	-14.679946
686.000000	|	-14.647713
687.000000	|	-14.583246
688.000000	|	-14.551013
689.000000	|	-14.535131
690.000000	|	-14.527730
691.000000	|	-14.524301
692.000000	|	-14.520871
693.000000	|	-14.520155
694.000000	|	-14.520133
695.000000	|	-14.520131
696.000000	|	-14.520131
697.000000	|	-14.520131
698.000000	|	-14.520131
699.000000	|	-14.520131
700.000000	|	-14.520131
701.000000	|	-14.520131
702.000000	|	-14.520131
703.000000	|	-14.520131
704.000000	|	-14.520131
705.000000	|	-14.520131
706.000000	|	-14.520140
707.000000	|	-14.524340
708.000000	|	-14.527559
709.000000	|	-14.528689
710.000000	|	-14.529529
711.000000	|	-14.530369
712.000000	|	-14.548783
713.000000	|	-14.567198
714.000000	|	-14.604607
715.000000	|	-14.606477
716.000000	|	-14.606535
717.000000	|	-14.606541
718.000000	|	-14.606545
719.000000	|	-14.606545
720.000000	|	-14.606545
721.000000	|	-14.606545
722.000000	|	-14.606545
723.000000	|	-14.606545
724.000000	|	-14.606546
725.000000	|	-14.606546
726.000000	|	-14.606547
727.000000	|	-14.606591
728.000000	|	-14.606613
729.000000	|	-14.606701
730.000000	|	-14.608210
731.000000	|	-14.608965
732.000000	|	-14.611987
733.000000	|	-14.618033
734.000000	|	-14.667530
735.000000	|	-14.677685
736.000000	|	-14.687840
737.000000	|	-14.714200
738.000000	|	-14.725306
739.000000	|	-14.729823
740.000000	|	-14.729875
741.000000	|	-14.729926
742.000000	|	-14.741518
743.000000	|	-14.753110
744.000000	|	-14.801909
745.000000	|	-14.826309
746.000000	|	-14.829004
747.000000	|	-14.834395
748.000000	|	-14.837090
749.000000	|	-14.908877
750.000000	|	-14.938821
751.000000	|	-14.950818
752.000000	|	-14.962815
753.000000	|	-14.998814
754.000000	|	-15.034813
755.000000	|	-15.148056
756.000000	|	-15.219796
757.000000	|	-15.291536
758.000000	|	-15.302875
759.000000	|	-15.325553
760.000000	|	-15.336892
761.000000	|	-15.346913
762.000000	|	-15.351924
763.000000	|	-15.361946
764.000000	|	-15.363198
765.000000	|	-15.363201
766.000000	|	-15.363203
767.000000	|	-15.363203
768.000000	|	-15.363203
769.000000	|	-15.363203
770.000000	|	-15.363203
771.000000	|	-15.363203
772.000000	|	-15.363203
773.000000	|	-15.363203
774.000000	|	-15.363203
775.000000	|	-15.363203
776.000000	|	-15.363203
777.000000	|	-15.362204
778.000000	|	-15.361204
779.000000	|	-15.360507
780.000000	|	-15.359811
781.000000	|	-15.359462
782.000000	|	-15.359419
783.000000	|	-15.359416
784.000000	|	-15.359416
785.000000	|	-15.359416
786.000000	|	-15.359416
787.000000	|	-15.359416
788.000000	|	-15.359416
789.000000	|	-15.359416
790.000000	|	-15.359416
791.000000	|	-15.359417
792.000000	|	-15.359418
793.000000	|	-15.359424
794.000000	|	-15.360828
795.000000	|	-15.372062
796.000000	|	-15.382590
797.000000	|	-15.387319
798.000000	|	-15.389415
799.000000	|	-15.391512
800.000000	|	-15.401418
801.000000	|	-15.421229
802.000000	|	-15.431135
803.000000	|	-15.449299
804.000000	|	-15.449299
805.000000	|	-15.449299
806.000000	|	-15.449299
807.000000	|	-15.449299
808.000000	|	-15.449299
809.000000	|	-15.449299
810.000000	|	-15.449299
811.000000	|	-15.449299
812.000000	|	-15.449298
813.000000	|	-15.449297
814.000000	|	-15.449294
815.000000	|	-15.449270
816.000000	|	-15.447731
817.000000	|	-15.398479
818.000000	|	-15.392381
819.000000	|	-15.380183
820.000000	|	-15.374085
821.000000	|	-15.352582
822.000000	|	-15.309576
823.000000	|	-15.288073
824.000000	|	-15.288001
825.000000	|	-15.287999
826.000000	|	-15.287999
827.000000	|	-15.287999
828.000000	|	-15.287999
829.000000	|	-15.287999
830.000000	|	-15.287999
831.000000	|	-15.287999
832.000000	|	-15.287999
833.000000	|	-15.287999
834.000000	|	-15.287999
835.000000	|	-15.288001
836.000000	|	-15.288025
837.000000	|	-15.288801
838.000000	|	-15.301221
839.000000	|	-15.400581
840.000000	|	-15.447014
841.000000	|	-15.450129
842.000000	|	-15.523018
843.000000	|	-15.600620
844.000000	|	-15.678222
845.000000	|	-15.701991
846.000000	|	-15.722880
847.000000	|	-15.743769
848.000000	|	-15.805644
849.000000	|	-15.852177
850.000000	|	-15.945242
851.000000	|	-15.991775
852.000000	|	-16.084892
853.000000	|	-16.109323
854.000000	|	-16.133252
855.000000	|	-16.133626
856.000000	|	-16.133632
857.000000	|	-16.133638
858.000000	|	-16.133638
859.000000	|	-16.133638
860.000000	|	-16.133638
861.000000	|	-16.133638
862.000000	|	-16.133638
863.000000	|	-16.133638
864.000000	|	-16.133638
865.000000	|	-16.133638
866.000000	|	-16.133638
867.000000	|	-16.133638
868.000000	|	-16.131960
869.000000	|	-16.105112
870.000000	|	-16.051416
871.000000	|	-16.036746
872.000000	|	-16.029410
873.000000	|	-16.027576
874.000000	|	-16.027576
875.000000	|	-16.027575
876.000000	|	-16.027575
877.000000	|	-16.027575
878.000000	|	-16.027575
879.000000	|	-16.027575
880.000000	|	-16.027575
881.000000	|	-16.027575
882.000000	|	-16.027575
883.000000	|	-16.027575
884.000000	|	-16.027575
885.000000	|	-16.027576
886.000000	|	-16.028169
887.000000	|	-16.037653
888.000000	|	-16.140693
889.000000	|	-16.141253
890.000000	|	-16.142375
891.000000	|	-16.142935
892.000000	|	-16.154393
893.000000	|	-16.177309
894.000000	|	-16.188767
895.000000	|	-16.207552
896.000000	|	-16.245121
897.000000	|	-16.263906
898.000000	|	-16.301570
899.000000	|	-16.339235
900.000000	|	-16.426171
901.000000	|	-16.434781
902.000000	|	-16.443390
903.000000	|	-16.474800
904.000000	|	-16.474831
905.000000	|	-16.474831
