Frequency (Hz)	|	Gain (dB)
411.000000	|	-20.037451
412.000000	|	-20.037451
413.000000	|	-20.037451
414.000000	|	-20.037451
415.000000	|	-20.037451
416.000000	|	-20.037451
417.000000	|	-20.037451
418.000000	|	-20.037451
419.000000	|	-20.037451
420.000000	|	-20.037451
421.000000	|	-20.037451
422.000000	|	-20.037451
423.000000	|	-20.037434
424.000000	|	-20.037417
425.000000	|	-20.037349
426.000000	|	-20.036260
427.000000	|	-20.035988
428.000000	|	-20.035852
429.000000	|	-20.035785
430.000000	|	-20.035751
431.000000	|	-20.035734
432.000000	|	-20.035729
433.000000	|	-20.035727
434.000000	|	-20.035726
435.000000	|	-20.035726
436.000000	|	-20.035726
437.000000	|	-20.035726
438.000000	|	-20.035691
439.000000	|	-20.035550
440.000000	|	-20.035479
441.000000	|	-20.035195
442.000000	|	-20.032890
443.000000	|	-20.030582
444.000000	|	-20.021340
445.000000	|	-20.012097
446.000000	|	-19.975120
447.000000	|	-19.786604
448.000000	|	-19.739486
449.000000	|	-19.715927
450.000000	|	-19.715743
451.000000	|	-19.715651
452.000000	|	-19.715640
453.000000	|	-19.715628
454.000000	|	-19.715627
455.000000	|	-19.715626
456.000000	|	-19.715626
457.000000	|	-19.715626
458.000000	|	-19.715626
459.000000	|	-19.715626
460.000000	|	-19.715626
461.000000	|	-19.715626
462.000000	|	-19.715626
463.000000	|	-19.715626
464.000000	|	-19.715626
465.000000	|	-19.715626
466.000000	|	-19.715626
467.000000	|	-19.715626
468.000000	|	-19.715626
469.000000	|	-19.715626
470.000000	|	-19.715626
471.000000	|	-19.715626
472.000000	|	-19.715626
473.000000	|	-19.715626
474.000000	|	-19.715626
475.000000	|	-19.715626
476.000000	|	-19.715629
477.000000	|	-19.715639
478.000000	|	-19.715650
479.000000	|	-19.715691
480.000000	|	-19.715733
481.000000	|	-19.715900
482.000000	|	-19.718582
483.000000	|	-19.740033
484.000000	|	-19.750758
485.000000	|	-19.793660
486.000000	|	-19.836562
487.000000	|	-20.008170
488.000000	|	-20.408595
489.000000	|	-20.533708
490.000000	|	-20.658822
491.000000	|	-20.762519
492.000000	|	-20.866216
493.000000	|	-20.918065
494.000000	|	-20.943988
495.000000	|	-20.947150
496.000000	|	-20.947924
497.000000	|	-20.948311
498.000000	|	-20.948359
499.000000	|	-20.948455
500.000000	|	-20.948463
501.000000	|	-20.948481
502.000000	|	-20.948484
503.000000	|	-20.948488
504.000000	|	-20.948492
505.000000	|	-20.948497
506.000000	|	-20.948510
507.000000	|	-20.948595
508.000000	|	-20.948685
509.000000	|	-20.949103
510.000000	|	-20.950799
511.000000	|	-20.951647
512.000000	|	-20.978791
513.000000	|	-21.033080
514.000000	|	-21.087368
515.000000	|	-21.088216
516.000000	|	-21.088219
517.000000	|	-21.088221
518.000000	|	-21.088221
519.000000	|	-21.088221
520.000000	|	-21.088221
521.000000	|	-21.088221
522.000000	|	-21.088221
523.000000	|	-21.088221
524.000000	|	-21.088221
525.000000	|	-21.088221
526.000000	|	-21.088219
527.000000	|	-21.088207
528.000000	|	-21.074995
529.000000	|	-20.969304
530.000000	|	-20.546536
531.000000	|	-20.135583
532.000000	|	-20.018050
533.000000	|	-19.959283
534.000000	|	-19.944592
535.000000	|	-19.943674
536.000000	|	-19.943673
537.000000	|	-19.943673
538.000000	|	-19.943673
539.000000	|	-19.943673
540.000000	|	-19.943673
541.000000	|	-19.943673
542.000000	|	-19.943673
543.000000	|	-19.943673
544.000000	|	-19.943673
545.000000	|	-19.943683
546.000000	|	-19.944280
547.000000	|	-19.946674
548.000000	|	-19.984979
549.000000	|	-20.023285
550.000000	|	-20.032862
551.000000	|	-20.035256
552.000000	|	-20.035555
553.000000	|	-20.035704
554.000000	|	-20.035704
555.000000	|	-20.035704
556.000000	|	-20.035704
557.000000	|	-20.035704
558.000000	|	-20.035704
559.000000	|	-20.035704
560.000000	|	-20.035704
561.000000	|	-20.035704
562.000000	|	-20.035704
563.000000	|	-20.035447
564.000000	|	-19.969524
565.000000	|	-19.965404
566.000000	|	-19.961284
567.000000	|	-19.959224
568.000000	|	-19.959192
569.000000	|	-19.959192
570.000000	|	-19.959192
571.000000	|	-19.959192
572.000000	|	-19.959192
573.000000	|	-19.959192
574.000000	|	-19.959192
575.000000	|	-19.959192
576.000000	|	-19.959192
577.000000	|	-19.959193
578.000000	|	-19.959198
579.000000	|	-19.960538
580.000000	|	-20.095222
581.000000	|	-20.096297
582.000000	|	-20.096314
583.000000	|	-20.096316
584.000000	|	-20.096316
585.000000	|	-20.096316
586.000000	|	-20.096316
587.000000	|	-20.096316
588.000000	|	-20.096316
589.000000	|	-20.096316
590.000000	|	-20.096316
591.000000	|	-20.096316
592.000000	|	-20.096316
593.000000	|	-20.096314
594.000000	|	-20.096288
595.000000	|	-20.082750
596.000000	|	-19.866144
597.000000	|	-19.619124
598.000000	|	-19.545244
599.000000	|	-19.508308
600.000000	|	-19.508164
601.000000	|	-19.508146
602.000000	|	-19.508137
603.000000	|	-19.508137
604.000000	|	-19.508137
605.000000	|	-19.508137
606.000000	|	-19.508137
607.000000	|	-19.508137
608.000000	|	-19.508137
609.000000	|	-19.508147
610.000000	|	-19.508185
611.000000	|	-19.508263
612.000000	|	-19.508573
613.000000	|	-19.513538
614.000000	|	-19.553259
615.000000	|	-19.712142
616.000000	|	-20.306006
617.000000	|	-20.353533
618.000000	|	-20.353626
619.000000	|	-20.353812
620.000000	|	-20.353812
621.000000	|	-20.353812
622.000000	|	-20.353812
623.000000	|	-20.353812
624.000000	|	-20.353812
625.000000	|	-20.353812
626.000000	|	-20.353812
627.000000	|	-20.353812
628.000000	|	-20.353812
629.000000	|	-20.353812
630.000000	|	-20.353808
631.000000	|	-20.352889
632.000000	|	-20.323473
633.000000	|	-20.205809
634.000000	|	-20.071604
635.000000	|	-19.937398
636.000000	|	-19.935301
637.000000	|	-19.935299
638.000000	|	-19.935299
639.000000	|	-19.935299
640.000000	|	-19.935299
641.000000	|	-19.935299
642.000000	|	-19.935299
643.000000	|	-19.935299
644.000000	|	-19.935299
645.000000	|	-19.935304
646.000000	|	-19.935312
647.000000	|	-19.935347
648.000000	|	-19.935627
649.000000	|	-19.940099
650.000000	|	-20.226312
651.000000	|	-21.003051
652.000000	|	-21.101852
653.000000	|	-21.446616
654.000000	|	-21.618999
655.000000	|	-21.640547
656.000000	|	-21.662094
657.000000	|	-21.662429
658.000000	|	-21.662430
659.000000	|	-21.662430
660.000000	|	-21.662430
661.000000	|	-21.662430
662.000000	|	-21.662430
663.000000	|	-21.662430
664.000000	|	-21.662429
665.000000	|	-21.662429
666.000000	|	-21.662027
667.000000	|	-21.660417
668.000000	|	-21.653977
669.000000	|	-21.651474
670.000000	|	-21.372244
671.000000	|	-21.162440
672.000000	|	-20.390081
673.000000	|	-20.090453
674.000000	|	-19.789824
675.000000	|	-19.752251
676.000000	|	-19.752251
677.000000	|	-19.752251
678.000000	|	-19.752251
679.000000	|	-19.752251
680.000000	|	-19.752251
681.000000	|	-19.752251
682.000000	|	-19.752251
683.000000	|	-19.752251
684.000000	|	-19.752252
685.000000	|	-19.752258
686.000000	|	-19.753954
687.000000	|	-19.944925
688.000000	|	-20.238788
689.000000	|	-20.870201
690.000000	|	-20.875304
691.000000	|	-20.880406
692.000000	|	-20.880566
693.000000	|	-20.880586
694.000000	|	-20.880586
695.000000	|	-20.880586
696.000000	|	-20.880586
697.000000	|	-20.880586
698.000000	|	-20.880586
699.000000	|	-20.880586
700.000000	|	-20.880586
701.000000	|	-20.880586
702.000000	|	-20.880586
703.000000	|	-20.880583
704.000000	|	-20.880570
705.000000	|	-20.880470
706.000000	|	-20.872460
707.000000	|	-20.856439
708.000000	|	-20.848429
709.000000	|	-19.820293
710.000000	|	-19.460408
711.000000	|	-19.428808
712.000000	|	-19.027059
713.000000	|	-18.904246
714.000000	|	-18.904126
715.000000	|	-18.904122
716.000000	|	-18.904122
717.000000	|	-18.904122
718.000000	|	-18.904122
719.000000	|	-18.904122
720.000000	|	-18.904122
721.000000	|	-18.904122
722.000000	|	-18.904122
723.000000	|	-18.904122
724.000000	|	-18.904123
725.000000	|	-18.904125
726.000000	|	-18.904214
727.000000	|	-18.904927
728.000000	|	-18.927724
729.000000	|	-19.082442
730.000000	|	-19.571057
731.000000	|	-19.799990
732.000000	|	-20.257855
733.000000	|	-20.486788
734.000000	|	-21.170759
735.000000	|	-21.433198
736.000000	|	-21.784483
737.000000	|	-21.824281
738.000000	|	-21.844181
739.000000	|	-21.844803
740.000000	|	-21.846046
741.000000	|	-21.846201
742.000000	|	-21.846279
743.000000	|	-21.846317
744.000000	|	-21.846336
745.000000	|	-21.846336
746.000000	|	-21.846336
747.000000	|	-21.846336
748.000000	|	-21.846336
749.000000	|	-21.846336
750.000000	|	-21.846146
751.000000	|	-21.844624
752.000000	|	-21.820274
753.000000	|	-21.430659
754.000000	|	-21.380320
755.000000	|	-21.377174
756.000000	|	-21.375600
757.000000	|	-21.375600
758.000000	|	-21.375600
759.000000	|	-21.375600
760.000000	|	-21.375600
761.000000	|	-21.375600
762.000000	|	-21.375600
763.000000	|	-21.375600
764.000000	|	-21.375600
765.000000	|	-21.375600
766.000000	|	-21.375601
767.000000	|	-21.375601
768.000000	|	-21.375662
769.000000	|	-21.391273
770.000000	|	-21.516153
771.000000	|	-21.889022
772.000000	|	-21.901922
773.000000	|	-21.927721
774.000000	|	-21.940621
775.000000	|	-22.201109
776.000000	|	-22.331353
777.000000	|	-22.347633
778.000000	|	-22.347633
779.000000	|	-22.347633
780.000000	|	-22.347633
781.000000	|	-22.347633
782.000000	|	-22.347633
783.000000	|	-22.347633
784.000000	|	-22.347633
785.000000	|	-22.347633
786.000000	|	-22.347633
787.000000	|	-22.347633
788.000000	|	-22.347633
789.000000	|	-22.343488
790.000000	|	-22.277166
791.000000	|	-22.244004
792.000000	|	-22.111359
793.000000	|	-21.686562
794.000000	|	-21.606567
795.000000	|	-21.446576
796.000000	|	-21.366581
797.000000	|	-20.659868
798.000000	|	-20.145851
799.000000	|	-19.765859
800.000000	|	-19.385868
801.000000	|	-19.323982
802.000000	|	-19.323974
803.000000	|	-19.323974
804.000000	|	-19.323974
805.000000	|	-19.323974
806.000000	|	-19.323974
807.000000	|	-19.323974
808.000000	|	-19.323974
809.000000	|	-19.323974
810.000000	|	-19.323974
811.000000	|	-19.323974
812.000000	|	-19.323975
813.000000	|	-19.323986
814.000000	|	-19.324007
815.000000	|	-19.326795
816.000000	|	-19.349096
817.000000	|	-19.950192
818.000000	|	-20.261045
819.000000	|	-20.571898
820.000000	|	-20.908330
821.000000	|	-21.370748
822.000000	|	-21.665088
823.000000	|	-21.860517
824.000000	|	-22.111438
825.000000	|	-22.299024
826.000000	|	-22.392816
827.000000	|	-22.404540
828.000000	|	-22.404540
829.000000	|	-22.404540
830.000000	|	-22.404540
831.000000	|	-22.404540
832.000000	|	-22.404540
833.000000	|	-22.404540
834.000000	|	-22.404540
835.000000	|	-22.404540
836.000000	|	-22.404540
837.000000	|	-22.404540
838.000000	|	-22.404540
839.000000	|	-22.404538
840.000000	|	-22.404517
841.000000	|	-22.404496
842.000000	|	-22.383067
843.000000	|	-21.796759
844.000000	|	-21.792653
845.000000	|	-21.401273
846.000000	|	-20.933968
847.000000	|	-20.926911
848.000000	|	-20.912796
849.000000	|	-20.905739
850.000000	|	-20.825016
851.000000	|	-20.784655
852.000000	|	-20.784653
853.000000	|	-20.784653
854.000000	|	-20.784653
855.000000	|	-20.784653
856.000000	|	-20.784653
857.000000	|	-20.784653
858.000000	|	-20.784653
859.000000	|	-20.784653
860.000000	|	-20.784653
861.000000	|	-20.784653
862.000000	|	-20.784653
863.000000	|	-20.784660
864.000000	|	-20.788437
865.000000	|	-20.909292
866.000000	|	-21.298167
867.000000	|	-21.736696
868.000000	|	-22.090370
869.000000	|	-22.459130
870.000000	|	-22.553531
871.000000	|	-22.885160
872.000000	|	-22.968067
873.000000	|	-22.978431
874.000000	|	-22.999157
875.000000	|	-22.999805
876.000000	|	-22.999815
877.000000	|	-22.999815
878.000000	|	-22.999815
879.000000	|	-22.999815
880.000000	|	-22.999815
881.000000	|	-22.999815
882.000000	|	-22.999815
883.000000	|	-22.999815
884.000000	|	-22.999815
885.000000	|	-22.999815
886.000000	|	-22.999815
887.000000	|	-22.982967
888.000000	|	-22.848188
889.000000	|	-22.816734
890.000000	|	-22.529722
891.000000	|	-22.238275
892.000000	|	-21.919957
893.000000	|	-21.887586
894.000000	|	-21.680105
895.000000	|	-21.245867
896.000000	|	-20.634770
897.000000	|	-20.321821
898.000000	|	-19.647605
899.000000	|	-19.504349
900.000000	|	-19.499872
901.000000	|	-19.495396
902.000000	|	-19.493157
903.000000	|	-19.492877
904.000000	|	-19.492869
905.000000	|	-19.492866
906.000000	|	-19.492866
907.000000	|	-19.492866
908.000000	|	-19.492866
909.000000	|	-19.492866
910.000000	|	-19.492866
911.000000	|	-19.492866
912.000000	|	-19.492866
913.000000	|	-19.492866
914.000000	|	-19.492895
915.000000	|	-19.500173
916.000000	|	-20.259714
917.000000	|	-20.535236
918.000000	|	-21.370771
919.000000	|	-21.635880
920.000000	|	-21.673375
921.000000	|	-22.190812
922.000000	|	-22.622561
923.000000	|	-23.270948
924.000000	|	-23.516410
925.000000	|	-23.516631
926.000000	|	-23.805000
927.000000	|	-23.887965
928.000000	|	-23.939727
929.000000	|	-23.991489
930.000000	|	-24.024966
931.000000	|	-24.025227
932.000000	|	-24.025293
933.000000	|	-24.025293
934.000000	|	-24.025293
935.000000	|	-24.025293
936.000000	|	-24.025293
937.000000	|	-24.025293
938.000000	|	-24.025293
939.000000	|	-24.025293
940.000000	|	-24.025293
941.000000	|	-24.025293
942.000000	|	-24.025293
943.000000	|	-24.025293
944.000000	|	-24.025274
945.000000	|	-24.015697
946.000000	|	-23.798945
947.000000	|	-23.582193
948.000000	|	-23.030483
949.000000	|	-22.954674
950.000000	|	-22.616517
951.000000	|	-22.414000
952.000000	|	-21.957407
953.000000	|	-21.729110
954.000000	|	-21.721976
955.000000	|	-21.707707
956.000000	|	-21.707261
957.000000	|	-21.707261
958.000000	|	-21.707261
959.000000	|	-21.707261
960.000000	|	-21.707261
961.000000	|	-21.707261
962.000000	|	-21.707261
963.000000	|	-21.707261
964.000000	|	-21.707261
965.000000	|	-21.707261
966.000000	|	-21.707263
967.000000	|	-21.707653
968.000000	|	-21.713890
969.000000	|	-21.813696
970.000000	|	-22.164496
971.000000	|	-22.471947
972.000000	|	-22.779398
973.000000	|	-22.940083
974.000000	|	-23.100768
975.000000	|	-23.559003
976.000000	|	-23.829425
977.000000	|	-24.171939
978.000000	|	-24.179676
979.000000	|	-24.297168
980.000000	|	-24.414659
981.000000	|	-24.584560
982.000000	|	-24.969989
983.000000	|	-24.979012
984.000000	|	-24.997058
985.000000	|	-24.997058
986.000000	|	-24.997058
987.000000	|	-24.997058
988.000000	|	-24.997058
989.000000	|	-24.997058
990.000000	|	-24.997058
991.000000	|	-24.997058
992.000000	|	-24.997058
993.000000	|	-24.997058
994.000000	|	-24.997057
995.000000	|	-24.996793
996.000000	|	-24.995736
997.000000	|	-24.987281
998.000000	|	-24.971979
999.000000	|	-24.956677
1000.000000	|	-24.947692
1001.000000	|	-24.729920
1002.000000	|	-24.676803
1003.000000	|	-24.570569
1004.000000	|	-24.517452
1005.000000	|	-24.318540
1006.000000	|	-24.073382
1007.000000	|	-24.029937
1008.000000	|	-23.986492
1009.000000	|	-23.886713
1010.000000	|	-23.687154
1011.000000	|	-23.662213
1012.000000	|	-23.662201
1013.000000	|	-23.662201
1014.000000	|	-23.662201
1015.000000	|	-23.662201
1016.000000	|	-23.662201
1017.000000	|	-23.662201
1018.000000	|	-23.662201
1019.000000	|	-23.662201
1020.000000	|	-23.662201
1021.000000	|	-23.662201
1022.000000	|	-23.662201
1023.000000	|	-23.662203
1024.000000	|	-23.663156
1025.000000	|	-23.693663
1026.000000	|	-23.846392
1027.000000	|	-23.999120
1028.000000	|	-24.458830
1029.000000	|	-24.556320
1030.000000	|	-24.832323
1031.000000	|	-24.900428
1032.000000	|	-25.616004
1033.000000	|	-25.617804
1034.000000	|	-25.621405
1035.000000	|	-25.623205
1036.000000	|	-25.624623
1037.000000	|	-25.626042
1038.000000	|	-25.626053
1039.000000	|	-25.626059
1040.000000	|	-25.626059
1041.000000	|	-25.626059
1042.000000	|	-25.626059
1043.000000	|	-25.626059
1044.000000	|	-25.626059
1045.000000	|	-25.626059
1046.000000	|	-25.626059
1047.000000	|	-25.626059
1048.000000	|	-25.625883
1049.000000	|	-25.623077
1050.000000	|	-25.600630
1051.000000	|	-25.566132
1052.000000	|	-25.554081
1053.000000	|	-25.542030
1054.000000	|	-25.180181
1055.000000	|	-25.083655
1056.000000	|	-25.049999
1057.000000	|	-24.785354
1058.000000	|	-24.310648
1059.000000	|	-24.145640
1060.000000	|	-24.089071
1061.000000	|	-24.032502
1062.000000	|	-23.814957
1063.000000	|	-23.692531
1064.000000	|	-23.063493
1065.000000	|	-22.671074
