Frequency (Hz)	|	Gain (dB)
738.000000	|	-20.338339
739.000000	|	-20.338340
740.000000	|	-20.338340
741.000000	|	-20.338340
742.000000	|	-20.338340
743.000000	|	-20.338340
744.000000	|	-20.338340
745.000000	|	-20.338340
746.000000	|	-20.338340
747.000000	|	-20.338340
748.000000	|	-20.338340
749.000000	|	-20.338340
750.000000	|	-20.338334
751.000000	|	-20.335204
752.000000	|	-20.134905
753.000000	|	-20.054278
754.000000	|	-20.021495
755.000000	|	-19.813503
756.000000	|	-19.800987
757.000000	|	-19.794729
758.000000	|	-19.794704
759.000000	|	-19.794692
760.000000	|	-19.794691
761.000000	|	-19.794690
762.000000	|	-19.794690
763.000000	|	-19.794690
764.000000	|	-19.794690
765.000000	|	-19.794690
766.000000	|	-19.794690
767.000000	|	-19.794690
768.000000	|	-19.794690
769.000000	|	-19.794690
770.000000	|	-19.794691
771.000000	|	-19.853173
772.000000	|	-20.624210
773.000000	|	-20.756902
774.000000	|	-21.079985
775.000000	|	-21.080981
776.000000	|	-21.081043
777.000000	|	-21.081074
778.000000	|	-21.081074
779.000000	|	-21.081074
780.000000	|	-21.081074
781.000000	|	-21.081074
782.000000	|	-21.081074
783.000000	|	-21.081074
784.000000	|	-21.081074
785.000000	|	-21.081074
786.000000	|	-21.081074
787.000000	|	-21.081074
788.000000	|	-21.080993
789.000000	|	-21.080340
790.000000	|	-21.075122
791.000000	|	-21.033372
792.000000	|	-20.866376
793.000000	|	-20.524197
794.000000	|	-20.360211
795.000000	|	-20.128849
796.000000	|	-19.969358
797.000000	|	-19.529508
798.000000	|	-18.804614
799.000000	|	-18.581479
800.000000	|	-17.534597
801.000000	|	-17.048632
802.000000	|	-16.713003
803.000000	|	-16.629096
804.000000	|	-16.618607
805.000000	|	-16.597631
806.000000	|	-16.595009
807.000000	|	-16.595007
808.000000	|	-16.595007
809.000000	|	-16.595007
810.000000	|	-16.595007
811.000000	|	-16.595007
812.000000	|	-16.595007
813.000000	|	-16.595007
814.000000	|	-16.595007
815.000000	|	-16.595007
816.000000	|	-16.595007
817.000000	|	-16.595007
818.000000	|	-16.599429
819.000000	|	-16.740919
820.000000	|	-17.810716
821.000000	|	-18.553483
822.000000	|	-18.777756
823.000000	|	-19.545301
824.000000	|	-20.449323
825.000000	|	-20.551128
826.000000	|	-20.754739
827.000000	|	-20.755534
828.000000	|	-20.755534
829.000000	|	-20.755534
830.000000	|	-20.755534
831.000000	|	-20.755534
832.000000	|	-20.755534
833.000000	|	-20.755534
834.000000	|	-20.755534
