Frequency (Hz)	|	Gain (dB)
774.000000	|	-21.079985
775.000000	|	-21.095920
776.000000	|	-21.276682
777.000000	|	-21.774316
778.000000	|	-22.011220
779.000000	|	-21.743775
780.000000	|	-21.892659
781.000000	|	-22.330099
782.000000	|	-21.760332
783.000000	|	-21.197424
784.000000	|	-21.592770
785.000000	|	-21.778634
786.000000	|	-20.564669
787.000000	|	-20.575411
788.000000	|	-21.216079
789.000000	|	-21.587768
790.000000	|	-21.031154
791.000000	|	-21.200369
792.000000	|	-20.866376
793.000000	|	-20.524197
794.000000	|	-20.360211
795.000000	|	-20.128849
796.000000	|	-19.969358
797.000000	|	-19.529508
798.000000	|	-18.804614
799.000000	|	-18.581479
800.000000	|	-17.534597
801.000000	|	-17.048632
802.000000	|	-16.377374
803.000000	|	-15.975377
804.000000	|	-15.001033
805.000000	|	-14.237290
806.000000	|	-13.108487
807.000000	|	-13.286673
808.000000	|	-12.382761
809.000000	|	-11.521299
810.000000	|	-12.362488
811.000000	|	-12.456400
812.000000	|	-12.504736
813.000000	|	-13.090269
814.000000	|	-13.559943
815.000000	|	-13.971916
816.000000	|	-15.377458
817.000000	|	-16.471220
818.000000	|	-16.457938
819.000000	|	-16.740919
820.000000	|	-17.810716
821.000000	|	-18.553483
822.000000	|	-18.777756
823.000000	|	-19.545301
824.000000	|	-20.449323
825.000000	|	-20.856544
826.000000	|	-20.898130
827.000000	|	-21.111198
828.000000	|	-21.257292
829.000000	|	-21.393687
830.000000	|	-21.611245
831.000000	|	-21.810510
832.000000	|	-22.666944
833.000000	|	-22.270836
834.000000	|	-21.895572
835.000000	|	-22.322674
836.000000	|	-22.025480
837.000000	|	-21.916619
838.000000	|	-21.753990
839.000000	|	-21.808551
840.000000	|	-21.473568
841.000000	|	-20.729700
842.000000	|	-20.328007
843.000000	|	-19.948658
844.000000	|	-19.926822
845.000000	|	-19.807297
846.000000	|	-20.072166
847.000000	|	-19.332301
848.000000	|	-19.415644
849.000000	|	-19.416259
850.000000	|	-19.694086
851.000000	|	-18.591780
852.000000	|	-17.730369
853.000000	|	-17.203525
854.000000	|	-16.679724
855.000000	|	-16.331033
856.000000	|	-15.664871
857.000000	|	-15.190553
858.000000	|	-14.825451
859.000000	|	-15.285932
860.000000	|	-15.188372
861.000000	|	-15.450014
862.000000	|	-16.093890
863.000000	|	-16.832921
864.000000	|	-16.793439
865.000000	|	-17.712862
866.000000	|	-18.470192
867.000000	|	-18.260405
868.000000	|	-19.326148
869.000000	|	-20.097684
870.000000	|	-20.815029
871.000000	|	-21.370941
872.000000	|	-21.831021
873.000000	|	-22.064698
874.000000	|	-21.813022
875.000000	|	-22.243592
876.000000	|	-22.610105
877.000000	|	-22.519394
878.000000	|	-22.897681
879.000000	|	-23.450243
880.000000	|	-23.183046
881.000000	|	-23.290810
882.000000	|	-23.109908
883.000000	|	-23.484821
884.000000	|	-23.447505
885.000000	|	-23.011866
886.000000	|	-22.935441
887.000000	|	-22.932558
888.000000	|	-23.622501
889.000000	|	-23.186776
890.000000	|	-23.181739
891.000000	|	-22.503387
892.000000	|	-22.417116
893.000000	|	-22.192070
894.000000	|	-21.817130
895.000000	|	-20.927898
896.000000	|	-20.537345
897.000000	|	-20.359947
898.000000	|	-20.194972
899.000000	|	-19.982357
900.000000	|	-19.680316
901.000000	|	-19.159969
902.000000	|	-18.888820
903.000000	|	-18.739939
904.000000	|	-18.518722
905.000000	|	-17.533525
906.000000	|	-17.773915
907.000000	|	-17.764527
908.000000	|	-17.431176
909.000000	|	-16.342121
910.000000	|	-16.395979
911.000000	|	-16.524314
912.000000	|	-17.422843
913.000000	|	-17.649806
914.000000	|	-18.542708
915.000000	|	-19.113729
916.000000	|	-19.572188
917.000000	|	-20.264578
918.000000	|	-20.671853
919.000000	|	-20.933949
920.000000	|	-21.390979
921.000000	|	-21.928750
922.000000	|	-22.359709
923.000000	|	-22.547026
924.000000	|	-22.785449
925.000000	|	-22.944696
926.000000	|	-23.578356
927.000000	|	-23.385967
928.000000	|	-23.864735
929.000000	|	-23.856504
930.000000	|	-23.679055
931.000000	|	-23.614117
932.000000	|	-23.740364
933.000000	|	-24.042942
934.000000	|	-23.809989
935.000000	|	-23.534174
936.000000	|	-23.398755
937.000000	|	-22.995943
938.000000	|	-22.909725
939.000000	|	-22.981399
940.000000	|	-22.325248
941.000000	|	-22.206123
942.000000	|	-22.337991
943.000000	|	-22.057968
944.000000	|	-21.135253
945.000000	|	-20.799281
946.000000	|	-20.472528
947.000000	|	-20.178383
948.000000	|	-19.730337
949.000000	|	-19.282854
950.000000	|	-18.392980
951.000000	|	-18.572401
952.000000	|	-18.515215
953.000000	|	-18.265665
954.000000	|	-17.725735
955.000000	|	-16.809329
956.000000	|	-16.201190
957.000000	|	-15.882614
958.000000	|	-15.704072
959.000000	|	-14.933471
960.000000	|	-14.192465
961.000000	|	-13.348346
962.000000	|	-13.298398
963.000000	|	-13.014020
964.000000	|	-13.278470
965.000000	|	-13.206693
966.000000	|	-13.833678
967.000000	|	-14.455968
968.000000	|	-15.230857
969.000000	|	-16.095472
970.000000	|	-16.239042
971.000000	|	-17.163539
972.000000	|	-17.562939
973.000000	|	-18.186850
974.000000	|	-18.796291
975.000000	|	-19.238298
976.000000	|	-19.616386
977.000000	|	-20.107401
978.000000	|	-20.553701
979.000000	|	-21.666052
980.000000	|	-22.086714
981.000000	|	-21.501110
982.000000	|	-21.236292
983.000000	|	-21.940593
984.000000	|	-22.486040
985.000000	|	-22.764964
986.000000	|	-23.201858
987.000000	|	-23.198048
988.000000	|	-23.059454
989.000000	|	-22.959101
990.000000	|	-23.398780
991.000000	|	-23.658672
992.000000	|	-23.495184
993.000000	|	-24.289773
994.000000	|	-24.265622
